file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,51,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,13
style.css,52,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,31
style.css,53,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,8
style.css,54,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,0
style.css,55,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,0
style.css,56,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,11
style.css,57,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,17
style.css,58,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,30
style.css,59,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,19
style.css,60,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,0
style.css,61,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,0
style.css,62,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,12
style.css,63,css,329ce576,Jessica Batbayar,2025-01-17,00:28:06,-08:00,2025-01-17T00:28:06-08:00,0,19
style.css,64,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,65,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,66,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,10
style.css,67,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,13
style.css,68,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,59
style.css,69,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,8
style.css,70,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,71,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,72,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,18
style.css,73,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,13
style.css,74,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,27
style.css,75,css,7d05c500,Jessica Batbayar,2025-01-31,11:50:29,-08:00,2025-01-31T11:50:29-08:00,0,16
style.css,76,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,8
style.css,77,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,78,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,79,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,21
style.css,80,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,9
style.css,81,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,82,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,83,css,7d05c500,Jessica Batbayar,2025-01-31,11:50:29,-08:00,2025-01-31T11:50:29-08:00,0,21
style.css,84,css,7d05c500,Jessica Batbayar,2025-01-31,11:50:29,-08:00,2025-01-31T11:50:29-08:00,0,9
style.css,85,css,7d05c500,Jessica Batbayar,2025-01-31,11:50:29,-08:00,2025-01-31T11:50:29-08:00,0,21
style.css,86,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,17
style.css,87,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,16
style.css,88,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,11
style.css,89,css,a3fd57aa,Jessica Batbayar,2025-02-06,01:14:33,-08:00,2025-02-06T01:14:33-08:00,0,26
style.css,90,css,a3fd57aa,Jessica Batbayar,2025-02-06,01:14:33,-08:00,2025-02-06T01:14:33-08:00,0,41
style.css,91,css,7d05c500,Jessica Batbayar,2025-01-31,11:50:29,-08:00,2025-01-31T11:50:29-08:00,0,0
style.css,92,css,7d05c500,Jessica Batbayar,2025-01-31,11:50:29,-08:00,2025-01-31T11:50:29-08:00,0,0
style.css,93,css,a3fd57aa,Jessica Batbayar,2025-02-06,01:14:33,-08:00,2025-02-06T01:14:33-08:00,0,25
style.css,94,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,11
style.css,95,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,19
style.css,96,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,17
style.css,97,css,42eeedd3,Jessica Batbayar,2025-01-31,13:49:45,-08:00,2025-01-31T13:49:45-08:00,0,17
style.css,98,css,a3fd57aa,Jessica Batbayar,2025-02-06,01:14:33,-08:00,2025-02-06T01:14:33-08:00,0,3
style.css,99,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,3
style.css,100,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,15
style.css,101,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,102,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,103,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,23
style.css,104,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,16
style.css,105,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,18
style.css,106,css,4340825a,Jessica Batbayar,2025-01-17,00:49:14,-08:00,2025-01-17T00:49:14-08:00,0,0
style.css,107,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,0
style.css,108,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,8
style.css,109,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,14
style.css,110,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,13
style.css,111,css,6dac2d76,Jessica Batbayar,2025-01-23,17:23:11,-08:00,2025-01-23T17:23:11-08:00,0,24
style.css,112,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,0
style.css,113,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,0
style.css,114,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,5
style.css,115,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,16
style.css,116,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,14
style.css,117,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,0
style.css,118,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,0
style.css,119,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,6
style.css,120,css,3611b340,Jessica Batbayar,2025-01-17,01:05:06,-08:00,2025-01-17T01:05:06-08:00,0,18
style.css,121,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,0
style.css,122,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,0
style.css,123,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,14
style.css,124,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,18
style.css,125,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,9
style.css,126,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,11
style.css,127,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,17
style.css,128,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,20
style.css,129,css,ec99d58b,Jessica Batbayar,2025-01-23,15:24:07,-08:00,2025-01-23T15:24:07-08:00,0,0
style.css,130,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,0
style.css,131,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,18
style.css,132,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,13
style.css,133,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,37
style.css,134,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,18
style.css,135,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,12
style.css,136,css,c295d8b1,Jessica Batbayar,2025-01-31,11:22:59,-08:00,2025-01-31T11:22:59-08:00,0,15
